date,rets,rv,bv
2014-10-15,0.0003335875833523421,0.0007159725847887393,0.00042691533542780607
2014-10-16,0.00015836147996832134,0.00021530471335784473,0.00022431912618989702
2014-10-17,3.471063906385042e-5,0.0001278689295996526,8.093270501904526e-5
2014-10-20,1.4602344056800899e-5,2.817023239584316e-5,4.559409077634284e-5
2014-10-21,5.909049814707502e-6,5.298647449113594e-5,2.5862065083106243e-5
2014-10-22,3.063400204530015e-5,5.4862732931911015e-5,5.408039024626356e-5
2014-10-23,2.10865215959381e-5,0.00011055760772236701,4.576159090455529e-5
2014-10-24,1.2114005288892079e-5,3.877625324024155e-5,2.567836232283846e-5
2014-10-27,2.065897419288521e-5,3.57748791343148e-5,3.114379691361384e-5
2014-10-28,4.527504914654334e-6,2.7300102763519668e-5,1.4745793511603105e-5
2014-10-29,2.5297403938735507e-5,6.987153675156501e-5,5.004811843589902e-5
2014-10-30,1.4209212720226347e-5,3.561427087442031e-5,2.783775161286767e-5
2014-10-31,6.668373918346913e-6,5.391759755961885e-5,1.59676272891706e-5
2014-11-03,1.1482934177325754e-5,1.872653629941716e-5,2.096367725794811e-5
2014-11-04,1.4928918259540874e-5,2.6370884387238247e-5,2.382121755861979e-5
2014-11-05,1.1648363891907183e-5,2.4871617736719643e-5,2.5232570359606e-5
2014-11-06,7.2144237029311735e-6,1.6824665541426193e-5,1.6446432484248414e-5
2014-11-07,1.1456519650084385e-5,1.3662703495738123e-5,1.7758759067719554e-5
2014-11-10,2.744033304688691e-6,7.870645526835766e-6,6.770896883815479e-6
2014-11-11,3.6325545928759365e-6,5.965237079642016e-6,5.459170054721328e-6
2014-11-12,1.070694810939193e-5,1.3740584270821548e-5,1.1386280358862239e-5
2014-11-13,1.497668569434226e-5,2.8525066882960056e-5,2.3716027321282655e-5
2014-11-14,5.145223192002697e-6,1.0699671791992498e-5,8.92811801096336e-6
2014-11-17,6.048423141486442e-6,1.3469249572192303e-5,1.3382476153346701e-5
2014-11-18,2.416869108670257e-6,1.1140382352212403e-5,7.9694552739128e-6
2014-11-19,1.5912898722852265e-5,1.8004974470052352e-5,1.898792745217701e-5
2014-11-20,7.922678420931674e-6,1.4384055472013994e-5,9.015407896225405e-6
2014-11-21,6.695254658584054e-6,5.4692904729964887e-5,2.2551771092848835e-5
2014-11-24,2.6915966683844924e-6,9.869862324597592e-6,4.5162404269789956e-6
2014-11-25,4.928231824018564e-6,1.1022810060889956e-5,7.933695678395617e-6
2014-11-26,1.5454947451239e-6,2.8271192204784866e-6,3.820212766511289e-6
2014-11-28,6.458009903600467e-6,1.1396344908221593e-5,5.535574156863173e-6
2014-12-01,2.3414478904811078e-5,4.3154768914826e-5,2.9266441403760156e-5
2014-12-02,3.2260015404345455e-6,1.6172681143744462e-5,1.0702957764492124e-5
2014-12-03,2.554991260999741e-6,6.461770673548222e-6,5.658668960012354e-6
2014-12-04,8.989238540860797e-6,1.7582199174267105e-5,1.4614881028867197e-5
2014-12-05,5.4952888584529896e-6,1.3730885016209929e-5,1.1071304160732397e-5
2014-12-08,2.1746814117944772e-5,2.958391221957746e-5,3.012473981010472e-5
2014-12-09,7.95397083571385e-5,0.00011035315849693391,3.933200479990275e-5
2014-12-10,5.197304648062007e-5,7.610929101236647e-5,4.993804791587909e-5
2014-12-11,2.4526375843407024e-5,9.69524869866718e-5,5.784340964892134e-5
2014-12-12,5.3788037828337624e-5,7.85193157032014e-5,8.255320429076929e-5
2014-12-15,7.309447722960006e-5,0.00014983781560339352,0.00012392709672718363
2014-12-16,7.25280181796978e-5,0.00016281276978345144,0.0001363701724244035
2014-12-17,4.5693712812794045e-5,0.0001593540880201899,0.00015883159749732832
2014-12-18,1.2831367683274018e-5,0.00014918787873710715,5.9797152843319364e-5
